GATS2m,ETA_Epsilon_5,MLFER_BH,CIC2,GATS5p,AATSC4s,MATS5p,VE1_Dzs,MATS2p,AATSC1m,bpol,AATSC2p,MIC1,MATS3e,CIC0,ATSC6m,ATSC2m,MDEC-13,GATS1i,ETA_EtaP_F,SM1_Dzs,ATSC4s,SpMax4_Bhv,AMR,AVP-3,nBr,GATS4c,SM1_DzZ,SpAbs_DzZ,AVP-0,ATS1s,ETA_EtaP_L,AATSC4p,SpMax4_Bhm,CIC3,minHBint4,MATS2e,SpMin5_Bhs,SpMin6_Bhs,hmin,MLFER_E,GATS3s,MATS4c,VR1_Dzv,MATS4i,MATS6i,nHeteroRing,AATSC4m,SpMin3_Bhe,ATSC4m,AATSC0m,VR1_Dzs,ETA_Eta_F_L,ATSC6i,SpMax1_Bhm,MATS6c,MATS2v,MATS2c,AATSC2v,ATSC0e,SpMax8_Bhs,GATS3e,nBondsD,ATS0p,MATS4m,ETA_Eta_F,MATS4s,GATS5v,ATSC7s,GATS2i,ATSC1m,MATS2i,GATS1v,ATSC7e,MATS2m,SwHBa,AATS2m,SpMin7_Bhe,AATSC3m,minaasC,maxssCH2,GATS3m,MATS2s,VE3_Dze,ALogP,SpMin6_Bhe,ATSC3s,MATS5c,ETA_dPsi_A,ATSC6v,ATSC0p,GATS1e,MATS3c,ATSC4v,GATS4s,VE3_Dzm,ATSC5c,MATS4e,BCUTw-1l,GATS5i,AATSC5v,ATSC4i,SpMin8_Bhs,MATS1e,ATSC7v
0.471420293,1.0631,0.412,0.679269643,0.0,0.0,0.0,0.148941541,-0.00919843,-0.105982054,4.657621,-0.0031704,30.59225345,-1.191960885,0.964983929,0.0,427.1709777,1.0,1.694878326,0.36788,0.35904325,0.0,0.270913902,16.5022,0.0,0,0.0,0.897058824,5.025388133,0.760535427,23.24279835,0.22308,0.0,0.083923071,1.481371049,0.0,0.423571111,1.414318577,2.748406748,0.188357339,0.306,1.908200779,0.0,15.47514216,0.0,0.0,0,0.0,0.943918427,0.0,132.005378,10.03999688,0.83973,0.0,3.817102199,0.0,0.218773306,0.242557375,11.56858212,1.229820857,0.0,2.326598613,1,12.30724271,0.0,1.47151,0.0,0.0,0.0,1.149135513,-0.635892327,-0.339404876,0.963551203,0.0,0.359556881,0.330246914,136.0542161,3.444071489,-148.092318,0.0,0.0,2.290460976,0.030294099,-0.880757723,0.372,2.429635801,-13.92924797,0.0,0.23277,0.0,2.412672397,0.580187347,-0.27971403,0.0,0.0,-0.572120182,0.0,0.0,11.99870712,0.0,0.0,0.0,0.0,-0.026729116,0.0
0.876169272,0.82963,0.66,1.311751998,0.776223251,0.091820988,0.190132173,0.058713623,-0.238470485,0.499315694,7.744035,-0.053402385,21.58574065,0.007731534,2.232937495,-112.402008,-97.14040208,0.0,1.137332759,0.74358,0.952947846,1.652777778,2.492076367,7.4415,0.084630599,0,1.106637321,0.392857143,27.1579903,0.526912581,62.66666667,0.14769,-0.025334328,2.543936655,0.76820625,0.0,0.257693357,0.03498071,0.130267806,0.424444444,0.844,0.415333926,0.009164292,42.03793768,-0.085358559,-0.044431153,0,3.051743566,0.798620231,54.93138418,32.39293831,45.34787971,3.10259,-0.2815462,3.792079203,0.030089566,-0.283209457,0.255578936,-13.31463833,1.119219714,0.56339201,0.529422411,2,23.59856852,0.09421015,6.69218,0.041117528,0.776728422,-5.326388889,1.127526867,6.990419714,-0.178705856,0.853327278,-0.169640265,-0.149940708,11.08295918,84.5746937,0.73208301,0.247642141,0.645833333,0.0,0.939093728,0.132163483,-2.729093305,-0.6348,0.490888897,2.111111111,0.016378436,0.14733,-57.4780095,3.135119154,0.557718783,-0.064291467,-1.009166088,0.790562219,-2.745541392,0.002926668,-0.023815345,11.85,0.671969782,7.45053501,-2.434006198,1.027966454,-0.01675453,-2.345210696
0.678343652,0.90909,0.185,0.8,0.49611375,-1.425925926,0.330426473,0.050196936,-0.234916934,-0.4079072,6.722035,-0.049262319,29.27336373,-0.157837586,2.124953532,51.328272,-13.909997,0.0,0.831438622,0.85916,2.156613757,-34.22222222,2.310118241,6.4546,0.078786212,0,1.069833898,0.892857143,32.94922645,0.487196974,76.66666667,0.14438,-0.027023663,2.555545244,0.666666667,0.0,0.168374311,0.076352355,0.162152737,0.503055556,1.11,0.74663206,-0.191057443,192.1528515,-0.169148393,0.704024266,0,-7.05126825,0.798620231,-169.230438,36.3105972,58.08133016,3.25454,3.147234312,3.845263107,2.01330521,-0.227795029,0.037649164,-9.394433435,2.408035733,0.86719297,0.922235238,1,22.09607652,-0.194193122,8.59161,-0.321190211,0.592755449,-13.82716049,1.322076526,-6.118608,-0.252386407,0.788169943,-0.469859698,-0.017412894,5.05962963,106.1658468,0.955145933,-4.451506111,-0.015925926,0.0,1.000301662,0.22120538,-5.097913147,0.1998,0.396843083,-5.111111111,-0.032396083,0.26068,-12.15502524,3.145515204,0.517642706,0.018272585,-70.73851102,1.405450501,-5.286616863,-0.00696499,-0.399388481,11.85,0.454770503,18.42412946,-6.049219078,0.86719297,0.159821327,-10.84277086
0.856628199,0.75238,0.436,1.807184723,0.0,0.0,0.412218285,0.162479887,-0.052287044,-3.889179558,13.118484,-0.01038833,15.10631013,-0.340074735,3.034955027,0.0,203.2716955,0.0,1.661705788,0.13996,0.516666667,0.0,1.904991636,25.1429,0.288406888,0,0.814626777,0.25,18.33988636,0.775720063,0.0,0.38292,-0.003619905,2.049845808,1.348036806,0.0,0.104365854,0.153992625,0.571428571,0.25,0.184,0.0,0.009279736,21.08755794,-0.015210116,0.0,0,-1.123293805,0.76031856,-50.54822122,30.98840195,15.19297969,0.26315,0.0,3.511481793,0.0,0.076490584,0.175395227,3.465980858,1.059967111,0.571428571,2.13205038,0,19.92305886,-0.036248846,0.83975,0.0,0.0,0.0,1.292963423,-66.11605249,-0.091054249,1.590373361,0.0,0.211600181,0.0,43.0067201,0.943918427,-17.51666869,0.0,0.826388889,1.749398848,0.0,-1.217235391,-0.1029,0.943918427,0.0,0.101258954,0.14382,0.0,3.576219349,1.043987109,-0.174782888,-56.42950901,0.0,-1.216953437,0.025333412,-0.023352003,11.89,0.0,21.85883516,-0.751663446,0.571428571,-0.095038736,0.0
0.310557852,1.04286,0.073,1.228161364,0.0,-0.023388817,0.0,0.025121351,0.428314993,-0.193513392,6.726035,0.183305351,29.71960584,-0.264025972,1.919946862,0.0,2103.39719,0.0,1.737516918,0.07692,-0.643705403,-0.210499354,1.090855893,29.7493,0.400891863,0,0.815455304,1.941176471,11.6154416,0.93479784,18.9212963,0.37617,-0.567505533,2.906358001,1.360836966,0.0,0.575135099,0.631578947,0.631578947,-0.018518519,0.349,0.630177788,-0.248145795,17.03258433,0.153475662,0.0,0,-273.2637896,0.024420424,-2459.374107,202.9276123,20.76003661,0.30365,0.0,4.240168153,0.0,0.27462142,0.194904637,17.42907024,1.530367636,0.631578947,1.151430845,0,24.84696452,-1.346607229,0.46152,-0.266652844,0.0,0.0,1.257815736,-1.935133917,-0.260677824,0.813698848,0.0,0.575847703,0.0,293.3641857,1.265477058,-42.12165651,0.0,1.488940329,1.136005722,-0.136793091,-1.025461758,1.4515,0.943918427,0.454164966,0.0,0.13209,0.0,4.70765415,0.55963775,0.110679243,-640.0533347,0.619243287,-0.6134072,0.0,-1.220076531,11.99863545,0.0,0.0,1.303739123,0.849902534,-0.01192755,0.0
1.16491562,0.87143,0.101,0.444444444,0.0,0.133347352,0.0,0.215779182,-0.312149981,-1.538647802,5.886035,-0.105304919,26.01464939,-0.02724606,1.818280886,0.0,-342.4941096,0.0,1.467818694,0.27954,-0.860091743,0.800084111,0.765512574,20.475,0.327326835,0,1.039997971,0.647058824,6.430145246,0.781364313,22.01851852,0.30553,-0.000938,0.906457778,0.796658333,0.0,-0.202328483,0.461538462,0.561006962,0.029170953,0.294,1.219058224,-0.151453102,7.832252,0.474254955,0.0,0,-29.87413117,0.341798335,-179.244787,115.9926805,28.83788414,0.6921,0.0,3.735954177,0.0,-0.324018998,-0.292334576,-19.24537525,0.649834222,0.890806399,0.865447803,1,15.34216452,-0.257551865,1.11817,0.322073935,0.0,0.0,1.181140623,-12.30918242,-0.282566403,1.05612842,0.0,-0.246060145,5.46776406,59.68299392,1.58985366,1.208101698,0.0,1.24691358,0.850590883,-0.237388141,-0.984386741,1.4634,1.141569096,-0.769308352,0.0,0.07904,0.0,3.036182377,0.500143712,0.226490375,51.63970414,0.042757611,-2.040287876,0.0,-0.299885031,11.99863545,0.0,0.0,3.257894157,2.404631618,-3.59e-05,0.0
0.582003114,0.99048,1.106,1.584962501,0.957300674,-0.93307465,-0.055586366,6.66e-16,-0.232628176,-1.46e-14,7.413621,-0.066343005,37.90054455,0.008095607,2.377443751,540.817684,212.987252,0.0,0.926253721,0.89763,1.208125819,-33.5906874,2.650458316,33.2334,0.094522775,0,0.876351464,2.691176471,65.36319729,0.623898396,76.0617284,0.19316,0.035358845,3.356854217,1.584962501,0.0,0.314987499,0.3436795,0.3436795,0.34736601,1.478,0.54498214,-0.022352406,95.51292914,0.233806219,0.86970259,0,-40.17098686,1.178361258,-1446.155527,106.8998186,105.0866244,4.01611,18.54378824,4.049868634,0.75826841,-0.134954059,0.0216223,-4.563281606,3.0392185,1.614850384,0.713602377,3,42.62075071,-0.375781619,13.46447,-0.219942237,0.676250383,0.0,0.878394613,-2.63e-13,0.057094605,0.612320353,0.0,0.073792611,6.539835391,198.4876832,0.96582922,4.794978505,0.521251715,0.0,0.648496769,-0.103326683,0.0,1.0863,0.344965407,6.087092923,-0.972461957,0.19987,-66.56252897,5.133402606,0.643080806,0.203308857,246.5922455,1.204845785,-53.45728242,-0.530747619,-0.542599356,11.99853694,1.759114699,-2.186230621,9.970426804,0.728060311,-5.34e-16,0.0
0.921021686,0.87037,0.442,1.141941848,0.44453025,0.008567878,0.301854697,0.26609404,-0.0822509,-0.682034591,18.178898,-0.017054916,22.20837122,-0.20066139,3.258889277,-1.71034462,115.5881665,2.683281573,1.747015013,0.32516,1.093877551,0.411258139,2.405454588,33.6077,0.166754434,0,0.671543722,0.5,42.62129875,0.700895601,61.0,0.33444,-0.013455642,2.333552793,1.141941848,0.0,0.236515845,0.487076206,0.000595,0.225555556,0.065,1.145365076,0.050370223,36.40266122,-0.085611792,-0.208988544,0,2.68498692,1.022947278,128.8793721,34.74398708,33.27680116,1.11596,-5.09057928,3.530650577,0.249102338,-0.035334114,0.186380585,-1.661925103,1.975925913,1.268241441,1.323019671,1,27.03328867,0.077279183,2.92642,0.005134256,0.579815593,-20.93903592,1.186280531,-15.00476101,-0.0862601,1.504503624,-0.737355834,0.083171346,-0.184583333,45.37847112,0.322613111,-9.635626164,0.0,0.957916667,1.280474632,0.235110132,-1.97905069,0.2153,0.113445065,-13.94533711,-0.113430691,0.18238,-105.9878193,4.769103567,0.709899086,-0.131099369,16.62349154,0.731415198,-1.977132498,-0.047443905,0.016186169,11.89,0.439395449,10.01771666,-4.766507204,0.583333333,0.006986228,-655.5397312
1.09375,0.7,0.156,1.272782999,0.882352941,-0.054976852,0.058823529,0.153109648,-0.166666667,1.78e-14,8.745656,-0.041934345,15.79668216,-0.103448276,3.0,60.5330045,-121.066009,0.5,0.9375,0.66017,-0.194444444,-1.319444444,2.436280005,10.1472,0.103527475,0,1.152200761,5.33e-15,23.34317042,0.58390105,50.0,0.17099,-0.062901518,2.405784561,0.922180469,0.0,-0.166666667,0.087295333,0.018394213,0.25,0.791,0.714642679,-0.133573826,46.73554789,-0.25,0.25,0,-7.566625562,0.798620231,-181.5990135,30.26650225,43.2491459,2.56391,2.733456344,3.785864566,0.108890606,-0.166666667,-0.235204466,-9.380308893,0.094864,0.545084816,1.034482759,1,25.86810324,-0.25,5.28136,-0.152979066,0.882352941,0.586805556,1.09375,2.84e-13,-0.166666667,0.9375,0.011858,-0.166666667,16.66666667,61.20384937,0.524357009,-3.131017474,1.173611111,0.0,1.034482759,-0.188405797,-1.577909961,0.7075,0.396843083,0.744791667,-0.04736849,0.0,112.5637067,4.025697139,0.9375,0.112948164,-337.6911202,1.219806763,-1.577909961,-0.001767454,-0.25,11.85,0.882352941,3.310697256,-8.200369033,0.48,1.16e-14,112.5637067
1.209520991,0.89167,0.42,0.67548875,0.0,0.187777778,0.0,0.102072139,-0.183219836,2.4737564,8.475242,-0.037533673,17.71797619,-0.239473555,2.026466251,0.0,-161.319218,1.0,1.717337251,0.15658,0.451719577,1.126666667,0.469159727,15.6279,0.166666667,0,0.030396265,0.25,7.337623882,0.673176335,24.91666667,0.35567,0.098899431,0.697115331,0.67548875,0.0,-0.2089606,0.620689655,0.620689655,0.311111111,0.246,1.298076923,0.091903576,13.56386948,0.425147427,0.0,1,23.04,0.082932242,138.24,35.7528108,13.20760912,0.47115,0.0,3.601087634,0.0,-0.240256385,-0.125689163,-11.18711337,0.9667344,0.19242884,1.253984071,0,11.67758143,0.644424857,0.62633,0.32751938,0.0,0.0,1.071113835,24.737564,-0.165670783,1.372000653,0.0,-0.282004433,0.0,29.60143487,1.106290405,-13.87864615,0.0,0.986111111,1.238814121,-0.085513566,-0.80489469,-0.1416,0.943918427,-2.325555556,0.0,0.20027,0.0,2.048559472,0.833787233,-0.071146424,175.9183187,0.0,-0.804675895,0.0,0.240249649,11.89,0.0,0.0,2.935652089,1.583743761,0.001502791,0.0
